"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","salary.f","dummy_sales","dummy_accounting","dummy_hr","dummy_technical","dummy_support","dummy_management","dummy_IT","dummy_product_mng","dummy_marketing","dummy_RandD"
"70",0.43,0.5,2,135,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"71",0.74,0.99,2,277,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"72",0.09,0.77,5,275,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"73",0.45,0.49,2,149,3,0,1,0,3,0,0,0,0,0,0,0,1,0,0
"74",0.09,0.87,7,295,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"75",0.11,0.97,6,277,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"76",0.11,0.79,7,306,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"77",0.1,0.83,6,295,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"78",0.4,0.54,2,137,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"79",0.43,0.56,2,157,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"80",0.39,0.56,2,142,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"81",0.45,0.54,2,140,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"82",0.38,0.49,2,151,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"83",0.79,0.59,4,139,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0
"84",0.84,0.85,4,249,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"85",0.11,0.77,6,291,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"86",0.11,0.87,6,305,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"87",0.17,0.84,5,232,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"88",0.44,0.45,2,132,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"89",0.37,0.57,2,130,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"90",0.1,0.79,6,291,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"91",0.4,0.5,2,130,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"92",0.89,1,5,246,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"93",0.42,0.48,2,143,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"94",0.46,0.55,2,129,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"95",0.09,0.83,6,255,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"96",0.37,0.51,2,155,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"97",0.1,0.77,6,265,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"98",0.1,0.84,6,279,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"99",0.11,0.97,6,284,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"100",0.9,1,5,221,6,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"101",0.38,0.52,2,154,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"102",0.36,0.52,2,147,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"103",0.42,0.46,2,150,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"104",0.09,0.94,7,267,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"105",0.43,0.52,2,158,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"106",0.24,0.46,7,224,5,0,1,0,2,0,1,0,0,0,0,0,0,0,0
"107",0.91,1,4,257,5,0,1,0,2,0,1,0,0,0,0,0,0,0,0
"108",0.44,0.5,2,148,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0
"109",0.71,0.87,3,177,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"110",0.4,0.49,2,155,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"111",0.43,0.47,2,144,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"112",0.09,0.85,6,289,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0
"113",0.43,0.52,2,160,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"114",0.9,0.96,4,258,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"115",0.84,1,5,234,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"116",0.37,0.48,2,137,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"117",0.86,0.68,5,263,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"118",0.11,0.84,6,251,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"119",0.37,0.57,2,133,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"120",0.4,0.46,2,132,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"121",0.14,0.62,4,158,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"122",0.4,0.46,2,135,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"123",0.75,1,4,216,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"124",0.11,0.84,6,300,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"125",0.46,0.49,2,138,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"126",0.11,0.92,6,260,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"127",0.38,0.49,2,132,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"128",0.7,0.89,3,183,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"129",0.09,0.82,6,250,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"130",0.37,0.45,2,151,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"131",0.1,0.83,6,292,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"132",0.38,0.57,2,140,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"133",0.9,1,5,221,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"134",0.44,0.51,2,138,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"135",0.36,0.5,2,132,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"136",0.31,0.84,7,133,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"137",0.1,0.84,6,283,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"138",0.42,0.48,2,129,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"139",0.74,1,4,249,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"140",0.73,0.87,5,257,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"141",0.09,0.96,6,245,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"142",0.45,0.53,2,155,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"143",0.11,0.8,6,256,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"144",0.37,0.47,2,152,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"145",0.84,0.99,4,267,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"146",0.41,0.46,2,151,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"147",0.76,0.92,4,239,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"148",0.11,0.87,6,306,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"149",0.84,0.88,4,263,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"150",0.39,0.5,2,147,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"151",0.11,0.91,6,278,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"152",0.45,0.56,2,154,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"153",0.37,0.52,2,143,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"154",0.4,0.52,2,155,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"155",0.39,0.48,2,160,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"156",0.11,0.8,6,304,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"157",0.83,1,5,240,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"158",0.11,0.92,6,305,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"159",0.39,0.5,2,136,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"160",0.45,0.45,2,132,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"161",0.1,0.95,7,301,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"162",0.9,0.98,5,243,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"163",0.45,0.51,2,147,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"164",0.79,0.89,5,239,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"165",0.9,0.99,5,260,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"166",0.11,0.84,7,296,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"167",0.43,0.55,2,129,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"168",0.31,0.54,5,132,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"169",0.32,0.5,2,135,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"170",0.45,0.57,2,158,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"171",0.81,0.99,4,259,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"172",0.41,0.46,2,160,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"173",0.11,0.78,7,278,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"174",0.1,0.88,6,284,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"175",0.7,0.53,2,274,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"176",0.54,0.74,4,164,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"177",0.41,0.48,2,148,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"178",0.38,0.5,2,140,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"179",0.37,0.51,2,127,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"180",0.11,0.85,6,308,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"181",0.4,0.47,2,146,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"182",0.1,0.84,6,261,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0
"183",0.89,0.99,5,257,5,0,1,0,2,0,1,0,0,0,0,0,0,0,0
"184",0.11,0.8,6,285,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0
"185",0.36,0.55,2,141,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"186",0.4,0.46,2,127,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"187",0.09,0.85,6,297,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"188",0.4,0.46,2,143,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"189",0.37,0.55,2,152,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"190",0.44,0.51,2,156,3,0,1,0,3,0,0,0,1,0,0,0,0,0,0
"191",0.09,0.8,7,283,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"192",0.92,0.87,4,226,6,1,1,0,2,0,0,0,1,0,0,0,0,0,0
"193",0.74,0.91,4,232,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"194",0.09,0.82,6,249,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"195",0.89,0.95,4,275,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"196",0.09,0.8,6,304,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"197",0.27,0.54,7,278,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"198",0.1,0.91,6,287,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"199",0.1,0.89,7,285,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"200",0.77,0.94,5,226,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"201",0.9,0.82,5,259,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"202",0.39,0.5,2,135,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"203",0.76,1,5,219,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"204",0.1,0.93,6,256,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"205",0.87,0.9,5,254,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"206",0.38,0.5,2,153,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"207",0.77,0.99,5,228,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"208",0.78,0.87,4,228,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"209",0.44,0.5,2,128,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"210",0.38,0.52,2,153,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"211",0.43,0.46,2,156,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"212",0.39,0.5,4,294,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"213",0.88,1,5,219,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"214",0.45,0.46,2,153,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"215",0.4,0.53,2,151,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"216",0.36,0.51,2,155,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"217",0.36,0.48,2,158,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"218",0.9,0.98,5,245,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"219",0.43,0.53,2,131,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"220",0.89,0.87,5,225,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"221",0.1,0.84,6,286,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"222",0.37,0.5,2,135,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"223",0.37,0.51,2,153,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"224",0.87,0.9,5,252,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"225",0.4,0.56,2,149,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"226",0.9,0.97,4,258,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"227",0.37,0.46,2,158,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"228",0.44,0.54,2,149,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"229",0.85,0.95,5,236,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"230",0.78,0.98,5,239,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"231",0.42,0.47,2,159,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"232",0.92,0.99,5,255,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"233",0.11,0.83,6,244,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"234",0.42,0.56,2,134,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"235",0.48,0.57,4,270,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"236",0.83,0.85,4,255,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"237",0.4,0.53,2,151,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"238",0.43,0.45,2,135,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"239",0.43,0.53,2,146,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"240",0.1,0.97,7,254,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"241",0.1,0.87,7,289,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"242",0.37,0.46,2,156,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"243",0.38,0.53,2,156,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"244",0.4,0.5,2,128,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"245",0.89,0.86,5,275,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"246",0.45,0.46,2,155,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"247",0.37,0.48,2,159,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"248",0.46,0.49,2,148,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"249",0.87,0.91,4,228,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"250",0.11,0.84,6,298,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"251",0.79,0.87,5,261,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"252",0.79,0.92,5,254,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"253",0.19,0.59,7,192,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"254",0.87,0.98,4,248,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"255",0.6,0.92,2,258,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"256",0.44,0.45,2,156,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"257",0.11,0.81,6,266,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0
"258",0.42,0.54,2,156,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"259",0.88,0.88,5,232,5,1,1,0,2,0,1,0,0,0,0,0,0,0,0
"260",0.11,0.84,6,287,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0
"261",0.46,0.46,2,154,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0
"262",0.82,0.97,5,263,5,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"263",0.44,0.56,2,131,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"264",0.11,0.78,6,260,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"265",0.42,0.5,2,139,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0
"266",0.84,0.93,4,251,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"267",0.11,0.95,6,286,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"268",0.45,0.53,2,129,3,0,1,0,3,0,0,0,1,0,0,0,0,0,0
"269",0.38,0.56,2,156,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"270",0.38,0.86,6,139,6,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"271",0.44,0.51,2,127,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"272",0.11,0.84,6,251,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"273",0.81,0.93,5,270,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"274",0.09,0.96,6,296,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"275",0.11,0.9,6,254,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"276",0.81,0.95,5,238,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"277",0.1,0.97,6,267,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"278",0.74,0.89,5,229,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"279",0.09,0.78,6,254,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"280",0.82,0.81,4,233,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"281",0.1,0.98,6,268,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"282",0.27,0.56,3,301,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"283",0.83,0.92,5,267,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"284",0.1,0.93,6,289,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"285",0.38,0.47,2,144,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"286",0.4,0.56,2,148,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"287",0.11,0.83,6,306,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"288",0.11,0.79,6,292,4,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"289",0.82,0.91,5,232,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"290",0.36,0.48,2,137,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"291",0.4,0.46,2,128,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"292",0.87,0.84,5,231,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"293",0.41,0.49,2,146,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"294",0.11,0.91,6,308,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"295",0.1,0.93,6,253,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"296",0.38,0.51,2,146,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"297",0.39,0.55,2,156,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"298",0.4,0.52,2,147,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"299",0.45,0.48,2,136,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"300",0.74,0.84,5,249,5,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"301",0.45,0.55,2,151,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0
"302",0.12,1,3,278,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1
"303",0.1,0.77,7,250,5,0,1,0,2,0,0,0,0,0,0,0,0,0,1
"304",0.37,0.55,2,127,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1
"305",0.89,0.87,5,255,5,0,1,0,2,0,0,0,0,0,0,0,0,0,1
